degree,count
5,2817
6,2212
7,1750
8,1306
9,1087
10,905
11,747
12,666
13,531
14,444
15,390
16,330
17,262
18,245
19,215
20,181
21,142
22,108
23,101
24,85
25,90
26,60
27,53
28,48
29,40
30,29
31,23
32,22
33,20
34,15
35,12
36,12
37,11
38,9
39,4
40,9
41,7
42,5
43,5
44,1
45,1
47,1
48,2
50,1
51,1
