degree,count
3,4063
4,2794
5,2001
6,1494
7,1088
8,850
9,617
10,483
11,381
12,306
13,206
14,147
15,163
16,117
17,65
18,53
19,41
20,28
21,28
22,19
23,7
24,10
25,18
26,6
27,6
28,1
29,3
30,2
31,1
32,1
34,2
36,2
