degree,count
7,2178
8,1812
9,1437
10,1182
11,994
12,880
13,737
14,700
15,609
16,494
17,485
18,402
19,340
20,329
21,305
22,219
23,200
24,215
25,187
26,146
27,147
28,121
29,98
30,97
31,79
32,69
33,69
34,59
35,43
36,47
37,39
38,41
39,28
40,21
41,25
42,17
43,19
44,22
45,12
46,8
47,13
48,12
49,13
50,6
51,6
52,7
53,7
54,3
55,7
56,3
57,5
59,1
60,1
61,2
62,1
63,1
66,4
68,1
69,1
73,1
